timeframe,symbol,setup,side,signal_time,entry_time,exit_time,signal_idx,entry_idx,exit_idx,entry,stop,risk,rr,tp,outcome,exit_reason,fill_delay,bars_in_trade,sma8,sma80,ma_gap_pct,dist_to_sma80_pct,slope_strength,atr,atr_pct,range,range_pct,body,body_pct,upper_wick,lower_wick,upper_wick_pct,lower_wick_pct,clv,ret_1_pct,ret_3_pct,ret_5_pct,rsi,rolling_high_20,rolling_low_20,pos_in_range_n,dist_to_high_n_pct,dist_to_low_n_pct,vol_z,bars_since_new_high,pullback_from_new_high_pct,after_new_high_flag,context_bars_since_extreme,context_pullback_pct,context_after_extreme_flag
1h,BTC_USDT,PFR,long,2020-06-09T19:00:00+00:00,2020-06-09T20:00:00+00:00,2020-06-09T21:00:00+00:00,112,113,114,9739.1,9682.4,56.70000000000073,1.0,9795.800000000001,win,tp,1,2,9711.625,9676.125,0.36688240385484894,0.5516154452324665,0.010920396731589496,43.76861902471967,0.44985476154704424,56.5,0.5807081556092297,26.5,0.2723675420114086,9.5,20.5,0.09764119430597668,0.21069941929184438,0.831858407079646,0.2731114088426301,0.2782787941252307,0.17503217503218593,56.81132804602287,9870.5,9608.5,0.4618320610687023,1.449200883909759,1.2436404748445449,-0.23172113392927488,19.0,1.42849906286409,1,19.0,1.42849906286409,1
1h,BTC_USDT,PFR,long,2020-06-18T10:00:00+00:00,2020-06-18T11:00:00+00:00,2020-06-18T15:00:00+00:00,319,320,324,9452.6,9382.4,70.20000000000073,1.0,9522.800000000001,loss,sl,1,5,9429.3125,9404.48125,0.2640363603255551,0.49464450790413633,0.0033065284096920958,49.6730030328491,0.525584626313079,70.0,0.7406623637710296,39.0,0.41265474552957354,1.5,29.5,0.01587133636652206,0.31213628187493386,0.9785714285714285,0.4143646408839796,0.12713211145247705,0.27054267678108257,53.16938669568835,9480.5,9242.0,0.8763102725366876,0.31213628187493386,2.211406200402074,0.06947601581576257,21.0,1.1918452692106638,1,21.0,1.1918452692106638,1
1h,BTC_USDT,DL,long,2020-06-22T19:00:00+00:00,2020-06-22T20:00:00+00:00,2020-06-22T20:00:00+00:00,424,425,425,9591.1,9544.9,46.20000000000073,1.0,9637.300000000001,win,tp,1,1,9528.8125,9362.93125,1.7716807436773645,2.131477255053009,0.13725490196078433,42.95021559423803,0.44915258137765257,46.0,0.4810457516339869,18.0,0.18823529411764706,10.5,17.5,0.10980392156862745,0.1830065359477124,0.3804347826086957,-0.18788163457021945,-0.29195558104374575,1.0835095137420758,70.38865183923208,9623.5,9277.0,0.823953823953824,0.6379084967320261,2.98562091503268,0.1107043858440507,3.0,0.6338650179248715,1,3.0,0.6338650179248715,1
1h,BTC_USDT,PFR,long,2020-06-29T23:00:00+00:00,2020-06-30T00:00:00+00:00,2020-06-30T01:00:00+00:00,596,597,598,9195.1,9165.9,29.200000000000728,1.0,9224.300000000001,loss,sl,1,2,9168.3125,9107.125,0.6718640624785539,0.8935311637865956,0.0884257495782772,45.01931540945192,0.4899528259177441,29.0,0.3156119061870817,3.5,0.0380910921260271,6.5,19.0,0.07074059966262175,0.2067802143984328,0.7758620689655172,0.03810560696788645,0.05444547285893275,0.5031446540880502,60.243908405528806,9235.5,9033.0,0.7679012345679013,0.5115089514066496,1.6923328073134896,-0.2802661919737357,1.0,0.5089058524173028,1,1.0,0.5089058524173028,1
1h,BTC_USDT,PFR,long,2020-07-01T11:00:00+00:00,2020-07-01T12:00:00+00:00,2020-07-01T13:00:00+00:00,632,633,634,9159.1,9133.9,25.200000000000728,1.0,9184.300000000001,win,tp,1,2,9151.6875,9125.2875,0.2893059533740678,0.3694404148910337,0.029342723004694836,32.63754039306972,0.356343928300794,25.0,0.27295556283437056,8.5,0.092804891363686,0.0,16.5,0.0,0.1801506714706846,1.0,0.09289109884704772,-0.1526218249209621,0.24626498111968154,53.72565182997839,9195.0,9093.0,0.6470588235294118,0.3930560104814936,0.7206026858827383,-0.14420879022071087,3.0,0.3915171288743882,1,3.0,0.3915171288743882,1
1h,BTC_USDT,DL,long,2020-07-06T10:00:00+00:00,2020-07-06T11:00:00+00:00,2020-07-06T12:00:00+00:00,751,752,753,9210.1,9174.9,35.20000000000073,1.0,9245.300000000001,win,tp,1,2,9161.6875,9088.19375,0.8086727904540948,1.1532132003677809,0.1407320787555749,38.9640628218679,0.4238449126712488,35.0,0.38072446426628953,9.5,0.10333949744370716,7.5,18.0,0.08158381377134775,0.19580115305123463,0.5142857142857142,-0.10323281716925203,-0.07608695652173703,0.9166255008507651,67.39020100772214,9239.0,8912.5,0.8591117917304747,0.5003807244642663,3.0512346350484063,-0.17719126621072329,3.0,0.4978893819677454,1,3.0,0.4978893819677454,1
1h,BTC_USDT,DL,long,2020-07-06T19:00:00+00:00,2020-07-06T20:00:00+00:00,2020-07-06T20:00:00+00:00,760,761,761,9298.1,9265.9,32.20000000000073,1.0,9330.300000000001,loss,sl,1,1,9287.5,9109.1875,1.9575016981481608,1.9959244444139501,0.08812291464858465,40.58640562008763,0.43683570789029846,32.0,0.3444193305349263,3.0,0.03228931223764934,4.0,25.0,0.04305241631686579,0.26907760198041114,0.78125,-0.032278889606196515,-0.2951118742286818,0.3835557236237852,69.89615051480014,9350.0,9058.5,0.7975986277873071,0.6350231406737703,2.5024216984178236,-0.13823554093081178,3.0,0.6310160427807487,1,3.0,0.6310160427807487,1
1h,BTC_USDT,DL,long,2020-07-18T14:00:00+00:00,2020-07-18T15:00:00+00:00,2020-07-18T18:00:00+00:00,1043,1044,1047,9166.1,9154.9,11.200000000000728,1.0,9177.300000000001,win,tp,1,4,9160.1875,9157.0625,0.03412666452806235,0.05392012995433852,0.03615476970093866,18.234273053373634,0.1990206620101903,11.0,0.12006112202575857,4.0,0.04365858982754857,0.0,7.0,0.0,0.07640253219821,0.6363636363636364,-0.043639537420903096,0.010915838882219475,-0.043639537420903096,56.61654858616934,9204.5,9125.0,0.46540880503144655,0.4638725169177036,0.4038419559048243,3.8897453354601432,5.0,0.46173067521321093,1,5.0,0.46173067521321093,1
1h,BTC_USDT,PFR,long,2020-07-21T16:00:00+00:00,2020-07-21T17:00:00+00:00,2020-07-22T07:00:00+00:00,1117,1118,1132,9357.6,9321.4,36.20000000000073,1.0,9393.800000000001,loss,sl,1,15,9355.625,9188.8,1.815525422253186,1.8196064774508178,0.06212590850790936,37.10860507027507,0.3966289554326108,36.0,0.38477982043608383,19.5,0.20842240273621204,1.5,15.0,0.01603249251817016,0.16032492518170158,0.9583333333333334,0.2088577089915944,-0.5527210884353706,0.15522132419847345,66.93040457892047,9437.5,9145.5,0.7208904109589042,0.8710987601539119,2.2498931167165455,-0.09364438263578277,3.0,0.8635761589403974,1,3.0,0.8635761589403974,1
1h,BTC_USDT,PFR,long,2020-07-23T01:00:00+00:00,2020-07-23T02:00:00+00:00,2020-07-23T02:00:00+00:00,1150,1151,1151,9520.1,9493.9,26.200000000000728,1.0,9546.300000000001,loss,sl,1,1,9440.125,9277.43125,1.7536508287248194,2.603832283855516,0.20813635886122495,34.661153159608794,0.3641259918017522,26.0,0.27313793465700176,13.0,0.13656896732850088,1.0,12.0,0.010505305179115453,0.12606366214938544,0.9615384615384616,0.13675573322111667,0.2052739617874666,1.6281428495168893,77.44396958521267,9541.5,9277.5,0.9147727272727273,0.2363693665300977,2.537031200756382,-0.2908960769446929,3.0,0.23581197924854586,1,3.0,0.23581197924854586,1
