feature,best_delta_test_pp,status
ret_3_pct,10.497835497835496,candidate
rsi,9.656301145662841,candidate
pullback_from_new_high_atr,8.765652951699462,candidate
context_pullback_atr,8.765652951699462,candidate
vol_z,7.063492063492063,candidate
pos_in_range_n,6.18729096989966,candidate
ma_gap_pct,5.952380952380956,candidate
body,5.158730158730158,candidate
bars_since_new_high,4.9319727891156475,candidate
context_bars_since_extreme,4.9319727891156475,candidate
body_pct,4.8885511651469145,candidate
ret_1_pct,4.8885511651469145,candidate
clv,4.524886877828056,candidate
lower_wick,4.228243021346472,candidate
lower_wick_pct,4.100529100529101,candidate
pullback_from_new_high_pct,3.23076923076923,candidate
context_pullback_pct,3.23076923076923,candidate
after_new_high_recent_flag,3.23076923076923,candidate
context_after_extreme_flag_v2,3.23076923076923,candidate
upper_wick_pct,3.1593406593406606,candidate
slope_strength,2.9320987654321016,candidate
ret_5_pct,2.4640088593576976,candidate
range,1.2857142857142847,candidate
upper_wick,1.1136712749615967,candidate
atr,0.39682539682539897,inconclusive
dist_to_high_n_pct,0.39682539682539897,inconclusive
atr_pct,0.21668472372697423,inconclusive
dist_to_low_n_pct,0.1831501831501825,inconclusive
sma8,0.0,inconclusive
sma80,0.0,inconclusive
rolling_high_20,0.0,inconclusive
rolling_low_20,0.0,inconclusive
new_high_event,0.0,inconclusive
last_new_high,0.0,inconclusive
range_pct,-0.76923076923077,inconclusive
dist_to_sma80_pct,-0.9706959706959637,inconclusive
after_new_high_flag,,inconclusive
context_after_extreme_flag,,inconclusive
