rr,feature_kept,feature_dropped,reason
1.0,bars_since_new_high,context_bars_since_extreme,identical_hash_on_train
1.0,context_pullback_atr,pullback_from_new_high_atr,identical_hash_on_train
1.0,context_pullback_pct,pullback_from_new_high_pct,identical_hash_on_train
1.5,context_pullback_atr,pullback_from_new_high_atr,identical_hash_on_train
1.5,bars_since_new_high,context_bars_since_extreme,identical_hash_on_train
1.5,context_pullback_pct,pullback_from_new_high_pct,identical_hash_on_train
1.5,after_new_high_recent_flag,context_after_extreme_flag_v2,identical_hash_on_train
2.0,context_pullback_atr,pullback_from_new_high_atr,identical_hash_on_train
2.0,after_new_high_recent_flag,context_after_extreme_flag_v2,identical_hash_on_train
2.0,context_pullback_pct,pullback_from_new_high_pct,identical_hash_on_train
2.0,bars_since_new_high,context_bars_since_extreme,identical_hash_on_train
