timeframe,setup,rr,feature_a,feature_b,bin_a,bin_b,trades,wins,losses,win_rate_pct_num,win_rate_pct
1h,PFR,1.0,rolling_low_20,pullback_from_new_high_pct,2.0,2.0,30,22,8,73.33333333333333,"73,3%"
1h,PFR,1.0,rolling_low_20,context_pullback_pct,2.0,2.0,30,22,8,73.33333333333333,"73,3%"
1h,PFR,1.0,slope_strength,pos_in_range_n,3.0,3.0,41,30,11,73.17073170731707,"73,2%"
1h,PFR,1.0,body,upper_wick_pct,3.0,3.0,37,26,11,70.27027027027027,"70,3%"
1h,PFR,1.0,sma8,pullback_from_new_high_pct,2.0,2.0,30,21,9,70.0,"70,0%"
1h,PFR,1.0,sma8,context_pullback_pct,2.0,2.0,30,21,9,70.0,"70,0%"
1h,PFR,1.0,sma80,pullback_from_new_high_pct,2.0,2.0,30,21,9,70.0,"70,0%"
1h,PFR,1.0,sma80,context_pullback_pct,2.0,2.0,30,21,9,70.0,"70,0%"
1h,PFR,1.0,range,pullback_from_new_high_pct,1.0,2.0,30,21,9,70.0,"70,0%"
1h,PFR,1.0,range,context_pullback_pct,1.0,2.0,30,21,9,70.0,"70,0%"
1h,PFR,1.0,body_pct,upper_wick,3.0,3.0,30,21,9,70.0,"70,0%"
1h,PFR,1.0,upper_wick,ret_1_pct,3.0,3.0,30,21,9,70.0,"70,0%"
1h,PFR,1.0,rolling_high_20,pullback_from_new_high_pct,2.0,2.0,30,21,9,70.0,"70,0%"
1h,PFR,1.0,rolling_high_20,context_pullback_pct,2.0,2.0,30,21,9,70.0,"70,0%"
1h,PFR,1.0,dist_to_sma80_pct,atr_pct,2.0,2.0,33,23,10,69.6969696969697,"69,7%"
1h,PFR,1.0,slope_strength,body,3.0,3.0,33,23,10,69.6969696969697,"69,7%"
1h,PFR,1.0,slope_strength,lower_wick,3.0,2.0,33,23,10,69.6969696969697,"69,7%"
1h,PFR,1.0,slope_strength,atr_pct,3.0,2.0,36,25,11,69.44444444444444,"69,4%"
1h,PFR,1.0,atr,pullback_from_new_high_pct,1.0,2.0,32,22,10,68.75,"68,8%"
1h,PFR,1.0,atr,context_pullback_pct,1.0,2.0,32,22,10,68.75,"68,8%"
1h,PFR,1.0,body_pct,upper_wick_pct,3.0,3.0,35,24,11,68.57142857142857,"68,6%"
1h,PFR,1.0,body_pct,lower_wick_pct,1.0,1.0,35,24,11,68.57142857142857,"68,6%"
1h,PFR,1.0,upper_wick_pct,ret_1_pct,3.0,3.0,35,24,11,68.57142857142857,"68,6%"
1h,PFR,1.0,lower_wick_pct,ret_1_pct,1.0,1.0,35,24,11,68.57142857142857,"68,6%"
1h,PFR,1.0,upper_wick,vol_z,3.0,3.0,38,26,12,68.42105263157895,"68,4%"
1h,PFR,1.0,range_pct,upper_wick,3.0,3.0,41,28,13,68.29268292682927,"68,3%"
1h,PFR,1.0,slope_strength,range,3.0,3.0,31,21,10,67.74193548387096,"67,7%"
1h,PFR,1.0,clv,pos_in_range_n,3.0,0.0,31,21,10,67.74193548387096,"67,7%"
1h,PFR,1.0,ret_5_pct,pullback_from_new_high_pct,3.0,0.0,31,21,10,67.74193548387096,"67,7%"
1h,PFR,1.0,ret_5_pct,context_pullback_pct,3.0,0.0,31,21,10,67.74193548387096,"67,7%"
1h,PFR,1.0,sma8,body,2.0,2.0,34,23,11,67.64705882352942,"67,6%"
1h,PFR,1.0,body,rolling_high_20,2.0,2.0,34,23,11,67.64705882352942,"67,6%"
1h,PFR,1.0,dist_to_low_n_pct,vol_z,1.0,3.0,34,23,11,67.64705882352942,"67,6%"
1h,PFR,1.0,range_pct,upper_wick_pct,3.0,3.0,49,33,16,67.3469387755102,"67,3%"
1h,PFR,1.0,range_pct,vol_z,3.0,3.0,57,38,19,66.66666666666666,"66,7%"
1h,PFR,1.0,range,vol_z,3.0,3.0,51,34,17,66.66666666666666,"66,7%"
1h,PFR,1.0,pos_in_range_n,vol_z,3.0,3.0,33,22,11,66.66666666666666,"66,7%"
1h,PFR,1.0,atr_pct,range,2.0,1.0,30,20,10,66.66666666666666,"66,7%"
1h,PFR,1.0,upper_wick_pct,clv,3.0,1.0,30,20,10,66.66666666666666,"66,7%"
1h,PFR,1.0,body,upper_wick,3.0,3.0,44,29,15,65.9090909090909,"65,9%"
1h,PFR,1.0,atr_pct,ret_5_pct,2.0,3.0,35,23,12,65.71428571428571,"65,7%"
1h,PFR,1.0,body,rolling_low_20,2.0,2.0,35,23,12,65.71428571428571,"65,7%"
