timeframe,setup,rr,feature,bucket,trades,wins,losses,win_rate_pct_num,win_rate_pct
1h,PFR,1.0,vol_z,top20,81,53,28,65.4320987654321,"65,4%"
1h,PFR,1.0,body,top15,61,39,22,63.934426229508205,"63,9%"
1h,PFR,1.0,bars_since_new_high,top10,44,28,16,63.63636363636363,"63,6%"
1h,PFR,1.0,context_bars_since_extreme,top10,44,28,16,63.63636363636363,"63,6%"
1h,PFR,1.0,clv,top10,41,26,15,63.41463414634146,"63,4%"
1h,PFR,1.0,vol_z,top10,41,26,15,63.41463414634146,"63,4%"
1h,DL,1.0,vol_z,quartile_3,46,29,17,63.04347826086957,"63,0%"
1h,PFR,1.0,range,top15,61,38,23,62.295081967213115,"62,3%"
1h,PFR,1.0,vol_z,top15,61,38,23,62.295081967213115,"62,3%"
1h,DL,1.0,lower_wick_pct,top20,37,23,14,62.16216216216216,"62,2%"
1h,DL,1.0,vol_z,top20,37,23,14,62.16216216216216,"62,2%"
1h,DL,1.0,vol_z,top25,47,29,18,61.702127659574465,"61,7%"
1h,PFR,1.0,body,top10,41,25,16,60.97560975609756,"61,0%"
1h,PFR,1.0,upper_wick_pct,low10,41,25,16,60.97560975609756,"61,0%"
1h,PFR,1.0,pos_in_range_n,top10,41,25,16,60.97560975609756,"61,0%"
1h,PFR,1.0,dist_to_high_n_pct,low10,41,25,16,60.97560975609756,"61,0%"
1h,DL,1.0,clv,quartile_2,46,28,18,60.86956521739131,"60,9%"
1h,DL,1.0,lower_wick_pct,top40,74,45,29,60.810810810810814,"60,8%"
1h,PFR,1.0,range_pct,top25,102,62,40,60.78431372549019,"60,8%"
1h,PFR,1.0,vol_z,top25,102,62,40,60.78431372549019,"60,8%"
1h,DL,1.0,lower_wick_pct,top30,56,34,22,60.71428571428571,"60,7%"
1h,DL,1.0,vol_z,top30,56,34,22,60.71428571428571,"60,7%"
1h,PFR,1.0,range,top20,81,49,32,60.49382716049383,"60,5%"
1h,PFR,1.0,range_pct,quartile_3,101,61,40,60.396039603960396,"60,4%"
1h,PFR,1.0,vol_z,quartile_3,101,61,40,60.396039603960396,"60,4%"
1h,PFR,1.0,bars_since_new_high,top15,62,37,25,59.67741935483871,"59,7%"
1h,PFR,1.0,context_bars_since_extreme,top15,62,37,25,59.67741935483871,"59,7%"
1h,DL,1.0,lower_wick_pct,top25,47,28,19,59.57446808510638,"59,6%"
1h,DL,1.0,ret_3_pct,top20,37,22,15,59.45945945945946,"59,5%"
1h,DL,1.0,pullback_from_new_high_pct,top20,37,22,15,59.45945945945946,"59,5%"
1h,DL,1.0,context_pullback_pct,top20,37,22,15,59.45945945945946,"59,5%"
1h,PFR,1.0,slope_strength,quartile_3,101,60,41,59.4059405940594,"59,4%"
1h,PFR,1.0,body,quartile_3,101,60,41,59.4059405940594,"59,4%"
1h,PFR,1.0,range_pct,top20,81,48,33,59.25925925925925,"59,3%"
1h,PFR,1.0,body,top20,81,48,33,59.25925925925925,"59,3%"
1h,PFR,1.0,body_pct,top20,81,48,33,59.25925925925925,"59,3%"
1h,PFR,1.0,ret_1_pct,top20,81,48,33,59.25925925925925,"59,3%"
1h,DL,1.0,vol_z,top50,93,55,38,59.13978494623656,"59,1%"
1h,PFR,1.0,range_pct,top15,61,36,25,59.01639344262295,"59,0%"
1h,PFR,1.5,clv,top10,39,23,16,58.97435897435898,"59,0%"
1h,PFR,1.5,dist_to_high_n_pct,low10,39,23,16,58.97435897435898,"59,0%"
1h,DL,1.0,lower_wick,top30,56,33,23,58.92857142857143,"58,9%"
1h,PFR,1.0,slope_strength,top25,102,60,42,58.82352941176471,"58,8%"
1h,PFR,1.0,body,top25,102,60,42,58.82352941176471,"58,8%"
1h,PFR,1.0,body_pct,top25,102,60,42,58.82352941176471,"58,8%"
1h,PFR,1.0,ret_1_pct,top25,102,60,42,58.82352941176471,"58,8%"
1h,DL,1.0,lower_wick,quartile_3,46,27,19,58.69565217391305,"58,7%"
1h,DL,1.0,lower_wick_pct,quartile_3,46,27,19,58.69565217391305,"58,7%"
1h,PFR,1.0,slope_strength,top10,41,24,17,58.536585365853654,"58,5%"
1h,PFR,1.0,range,top10,41,24,17,58.536585365853654,"58,5%"
1h,PFR,1.0,range_pct,top10,41,24,17,58.536585365853654,"58,5%"
1h,PFR,1.0,body_pct,top10,41,24,17,58.536585365853654,"58,5%"
1h,PFR,1.0,upper_wick,top10,41,24,17,58.536585365853654,"58,5%"
1h,PFR,1.0,ret_1_pct,top10,41,24,17,58.536585365853654,"58,5%"
1h,PFR,1.0,ret_5_pct,top10,41,24,17,58.536585365853654,"58,5%"
1h,PFR,1.0,ma_gap_pct,quartile_2,101,59,42,58.415841584158414,"58,4%"
1h,PFR,1.0,range,quartile_3,101,59,42,58.415841584158414,"58,4%"
1h,PFR,1.0,body_pct,quartile_3,101,59,42,58.415841584158414,"58,4%"
1h,PFR,1.0,ret_1_pct,quartile_3,101,59,42,58.415841584158414,"58,4%"
