rr,name,rule,n_filters,splits,splits_pos_ev,avg_trades_test,min_trades_test,avg_wr_test_num,avg_delta_wr_test_pp,avg_evR_test,avg_delta_evR_test,avg_wr_test,avg_delta_wr_test
1.0,RR1_ret3_high50,ret_3_pct high50@0.0372722,1,2,2,73.5,63,58.730158730158735,8.58106494084689,0.17460317460317448,0.17162129881693775,"58,7%","8,6%"
2.0,RR2_after_new_high_recent_flag_high50,after_new_high_recent_flag high50@1,1,3,2,74.66666666666667,50,33.26126126126126,0.23186842710550337,-0.002162162162162132,0.006956052813165202,"33,3%","0,2%"
1.5,RR1p5_ret3_high50__AND__slope_low80,ret_3_pct high50@0.0338931 AND slope_strength low80@0.271242,2,1,1,38.0,38,47.368421052631575,12.002567394094989,0.1842105263157893,0.3000641848523746,"47,4%","12,0%"
2.0,RR2_rsi_high60,rsi high60@60.0219,1,1,1,47.0,47,38.297872340425535,9.183948289792625,0.1489361702127661,0.2755184486937788,"38,3%","9,2%"
1.5,RR1p5_ret3_high50,ret_3_pct high50@0.0383034,1,1,1,61.0,61,50.81967213114754,10.655737704918032,0.2704918032786886,0.2663934426229508,"50,8%","10,7%"
2.0,RR2_ret3_high50,ret_3_pct high50@0.0372722,1,1,1,59.0,59,42.3728813559322,8.474576271186443,0.271186440677966,0.2542372881355933,"42,4%","8,5%"
1.0,RR1_ret3_high50__AND__slope_low80,ret_3_pct high50@0.0372722 AND slope_strength low80@0.281728,2,1,1,56.0,56,60.71428571428571,11.895388076490434,0.2142857142857142,0.2379077615298087,"60,7%","11,9%"
2.0,RR2_pullback_atr_low50,pullback_from_new_high_atr low50@1.05792,1,1,1,67.0,67,41.7910447761194,7.892739691373642,0.253731343283582,0.2367821907412093,"41,8%","7,9%"
2.0,RR2_rsi_high60,rsi high60@60.1942,1,1,1,65.0,65,41.53846153846154,7.6401564537157824,0.2461538461538462,0.2292046936114735,"41,5%","7,6%"
2.0,RR2_pullback_atr_low50,pullback_from_new_high_atr low50@1.04786,1,1,1,44.0,44,36.36363636363637,7.249712313003457,0.0909090909090909,0.2174913693901036,"36,4%","7,2%"
1.0,RR1_volz_high50,vol_z high50@-0.290896,1,1,1,76.0,76,59.210526315789465,10.391628677994191,0.1842105263157893,0.2078325735598838,"59,2%","10,4%"
1.5,RR1p5_magap_high60,ma_gap_pct high60@1.25977,1,1,1,61.0,61,47.540983606557376,7.377049180327866,0.1885245901639344,0.1844262295081966,"47,5%","7,4%"
1.5,RR1p5_magap_high60,ma_gap_pct high60@1.23863,1,1,1,40.0,40,42.5,7.134146341463413,0.0625,0.1783536585365852,"42,5%","7,1%"
2.0,RR2_ret3_high50,ret_3_pct high50@0.0338931,1,1,1,43.0,43,34.88372093023256,5.769796879599646,0.0465116279069766,0.1730939063879892,"34,9%","5,8%"
1.5,RR1p5_ret3_high50,ret_3_pct high50@0.0338931,1,1,1,45.0,45,42.22222222222222,6.856368563685635,0.0555555555555555,0.1714092140921408,"42,2%","6,9%"
1.0,RR1_ret3_high50,ret_3_pct high50@0.0327714,1,1,1,47.0,47,53.191489361702125,8.485607008760944,0.0638297872340425,0.169712140175219,"53,2%","8,5%"
1.5,RR1p5_volz_high50,vol_z high50@-0.306383,1,1,1,75.0,75,46.66666666666666,6.502732240437155,0.1666666666666665,0.1625683060109287,"46,7%","6,5%"
1.5,RR1p5_ret3_high50,ret_3_pct high50@0.0393346,1,1,1,81.0,81,49.38271604938272,6.437930773309091,0.2345679012345678,0.1609482693327273,"49,4%","6,4%"
1.0,RR1_ret3_high50__AND__slope_low80,ret_3_pct high50@0.0327714 AND slope_strength low80@0.271314,2,1,1,40.0,40,52.5,7.794117647058819,0.05,0.1558823529411765,"52,5%","7,8%"
1.0,RR1_volz_high50,vol_z high50@-0.237565,1,1,1,46.0,46,52.17391304347826,7.468030690537077,0.0434782608695651,0.1493606138107416,"52,2%","7,5%"
2.0,RR2_volz_high50,vol_z high50@-0.333782,1,1,1,75.0,75,38.66666666666666,4.768361581920907,0.16,0.1430508474576273,"38,7%","4,8%"
1.0,RR1_volz_high50,vol_z high50@-0.293428,1,1,1,99.0,99,58.58585858585859,7.106568645030187,0.1717171717171717,0.1421313729006037,"58,6%","7,1%"
1.5,RR1p5_magap_high60,ma_gap_pct high60@1.20293,1,1,1,93.0,93,48.38709677419355,5.442311498119928,0.2096774193548387,0.1360577874529982,"48,4%","5,4%"
2.0,RR2_rsi_high60,rsi high60@60.0002,1,1,1,95.0,95,40.0,3.924050632911396,0.2,0.1177215189873419,"40,0%","3,9%"
1.0,RR1_magap_high60,ma_gap_pct high60@1.23958,1,1,1,93.0,93,55.91397849462365,4.434688553795247,0.118279569892473,0.088693771075905,"55,9%","4,4%"
1.5,RR1p5_volz_high50,vol_z high50@-0.333782,1,1,1,101.0,101,45.54455445544555,2.599769179371925,0.1386138613861388,0.0649942294842983,"45,5%","2,6%"
2.0,RR2_volz_high50,vol_z high50@-0.288793,1,1,0,47.0,47,31.91489361702128,2.800969566388368,-0.0425531914893616,0.084029086991651,"31,9%","2,8%"
1.0,RR1_magap_high60,ma_gap_pct high60@1.24461,1,1,0,42.0,42,47.61904761904761,2.913165266106432,-0.0476190476190478,0.0582633053221286,"47,6%","2,9%"
1.5,RR1p5_volz_high50,vol_z high50@-0.267522,1,1,0,48.0,48,37.5,2.1341463414634134,-0.0625,0.0533536585365852,"37,5%","2,1%"
1.0,RR1_magap_high60,ma_gap_pct high60@1.31971,1,1,0,60.0,60,50.0,1.181102362204726,0.0,0.0236220472440945,"50,0%","1,2%"
