rr,name,rule,n_filters,baseline_trades_train,baseline_wr_train_num,baseline_wr_train,baseline_evR_train,baseline_trades_test,baseline_wr_test_num,baseline_wr_test,baseline_evR_test,trades_train,wr_train_num,wr_train,delta_wr_train_pp,delta_wr_train,evR_train,delta_evR_train,trades_test,wr_test_num,wr_test,delta_wr_test_pp,delta_wr_test,evR_test,delta_evR_test
1.0,RR1_ret3_high50,ret_3_pct high50@0.0372324,1,368,48.641304347826086,"48,6%",-0.02717391304347827,93,44.086021505376344,"44,1%",-0.11827956989247307,184,47.82608695652174,"47,8%",-0.8152173913043441,"-0,8%",-0.04347826086956519,-0.016304347826086918,40,45.0,"45,0%",0.913978494623656,"0,9%",-0.10000000000000003,0.018279569892473035
1.0,RR1_volz_high50,vol_z high50@-0.238376,1,368,48.641304347826086,"48,6%",-0.02717391304347827,93,44.086021505376344,"44,1%",-0.11827956989247307,184,55.434782608695656,"55,4%",6.79347826086957,"6,8%",0.10869565217391308,0.13586956521739135,55,47.27272727272727,"47,3%",3.1867057673509294,"3,2%",-0.05454545454545462,0.06373411534701845
1.0,RR1_magap_high60,ma_gap_pct high60@1.24209,1,368,48.641304347826086,"48,6%",-0.02717391304347827,93,44.086021505376344,"44,1%",-0.11827956989247307,221,51.58371040723983,"51,6%",2.9424060594137416,"2,9%",0.03167420814479649,0.05884812118827476,46,45.65217391304348,"45,7%",1.5661524076671327,"1,6%",-0.08695652173913043,0.031323048153342636
1.0,RR1_ret3_high50__AND__slope_low80,ret_3_pct high50@0.0372324 AND slope_strength low80@0.270667,2,368,48.641304347826086,"48,6%",-0.02717391304347827,93,44.086021505376344,"44,1%",-0.11827956989247307,151,47.682119205298015,"47,7%",-0.9591851425280709,"-1,0%",-0.04635761589403975,-0.01918370285056148,36,44.44444444444444,"44,4%",0.35842293906809886,"0,4%",-0.11111111111111116,0.007168458781361908
1.5,RR1p5_ret3_high50,ret_3_pct high50@0.0372722,1,355,41.12676056338028,"41,1%",0.028169014084507116,89,38.20224719101123,"38,2%",-0.04494382022471932,178,41.01123595505618,"41,0%",-0.11552460832410105,"-0,1%",0.0252808988764045,-0.002888115208102615,38,39.473684210526315,"39,5%",1.2714370195150835,"1,3%",-0.013157894736842146,0.031785925487877176
1.5,RR1p5_volz_high50,vol_z high50@-0.259552,1,355,41.12676056338028,"41,1%",0.028169014084507116,89,38.20224719101123,"38,2%",-0.04494382022471932,178,44.9438202247191,"44,9%",3.817059661338817,"3,8%",0.1235955056179775,0.09542649153347038,56,39.285714285714285,"39,3%",1.0834670947030531,"1,1%",-0.017857142857142905,0.027086677367576417
1.5,RR1p5_magap_high60,ma_gap_pct high60@1.22051,1,355,41.12676056338028,"41,1%",0.028169014084507116,89,38.20224719101123,"38,2%",-0.04494382022471932,213,42.72300469483568,"42,7%",1.5962441314554,"1,6%",0.068075117370892,0.039906103286384886,45,46.666666666666664,"46,7%",8.464419475655433,"8,5%",0.16666666666666652,0.21161048689138584
1.5,RR1p5_ret3_high50__AND__slope_low80,ret_3_pct high50@0.0372722 AND slope_strength low80@0.271206,2,355,41.12676056338028,"41,1%",0.028169014084507116,89,38.20224719101123,"38,2%",-0.04494382022471932,146,40.41095890410959,"40,4%",-0.7158016592706886,"-0,7%",0.010273972602739767,-0.01789504148176735,35,42.857142857142854,"42,9%",4.6548956661316225,"4,7%",0.0714285714285714,0.11637239165329072
2.0,RR2_rsi_high60,rsi high60@60.0219,1,344,34.883720930232556,"34,9%",0.046511627906976605,86,32.55813953488372,"32,6%",-0.023255813953488302,206,32.038834951456316,"32,0%",-2.84488597877624,"-2,8%",-0.03883495145631044,-0.08534657936328705,54,42.592592592592595,"42,6%",10.034453057708873,"10,0%",0.2777777777777778,0.3010335917312661
2.0,RR2_pullback_atr_low50,pullback_from_new_high_atr low50@1.04786,1,344,34.883720930232556,"34,9%",0.046511627906976605,86,32.55813953488372,"32,6%",-0.023255813953488302,172,34.30232558139535,"34,3%",-0.581395348837205,"-0,6%",0.029069767441860406,-0.0174418604651162,49,42.857142857142854,"42,9%",10.299003322259132,"10,3%",0.2857142857142857,0.308970099667774
2.0,RR2_ret3_high50,ret_3_pct high50@0.0372324,1,344,34.883720930232556,"34,9%",0.046511627906976605,86,32.55813953488372,"32,6%",-0.023255813953488302,172,33.72093023255814,"33,7%",-1.1627906976744171,"-1,2%",0.011627906976744096,-0.03488372093023251,37,35.13513513513514,"35,1%",2.576995600251415,"2,6%",0.05405405405405406,0.07730986800754236
